Customer ID,Age,Gender,Location,Category,Frequency of Purchases,Subscription Status,Payment Method,Purchase Amount (USD),Previous Purchases,Review Rating,Promo Code Used,Discount Applied,Season,Age Group,Segment,Value Score
1,55,Male,Kentucky,Clothing,Bi-Weekly,Yes,Venmo,53,14,3.1,Yes,Yes,Winter,46-55,Discount Hunter,36.87168367346939
2,19,Male,Maine,Clothing,Bi-Weekly,Yes,Cash,64,2,3.1,Yes,Yes,Winter,18-25,Discount Hunter,32.96224489795919
3,50,Male,Massachusetts,Clothing,Weekly,Yes,Credit Card,73,23,3.1,Yes,Yes,Spring,46-55,Loyal — Deal User,53.63188775510204
4,21,Male,Rhode Island,Footwear,Weekly,Yes,PayPal,90,49,3.5,Yes,Yes,Spring,18-25,Loyal — Deal User,77.26275510204081
5,45,Male,Oregon,Clothing,Annually,Yes,PayPal,49,31,2.7,Yes,Yes,Spring,36-45,Loyal — Deal User,28.629846938775515
6,46,Male,Wyoming,Footwear,Weekly,Yes,Venmo,20,14,2.9,Yes,Yes,Summer,46-55,Discount Hunter,30.35918367346939
7,63,Male,Montana,Clothing,Quarterly,Yes,Cash,85,49,3.2,Yes,Yes,Fall,55+,Loyal — Deal User,58.900255102040816
8,27,Male,Louisiana,Clothing,Weekly,Yes,Credit Card,34,19,3.2,Yes,Yes,Winter,26-35,Loyal — Deal User,39.595408163265304
9,26,Male,West Virginia,Outerwear,Annually,Yes,Venmo,97,8,2.6,Yes,Yes,Summer,26-35,Discount Hunter,28.948214285714286
10,57,Male,Missouri,Accessories,Quarterly,Yes,Cash,31,4,4.8,Yes,Yes,Spring,55+,Discount Hunter,24.07423469387755
11,53,Male,Arkansas,Footwear,Bi-Weekly,Yes,Bank Transfer,34,26,4.1,Yes,Yes,Fall,46-55,Loyal — Deal User,44.28112244897959
12,30,Male,Hawaii,Clothing,Bi-Weekly,Yes,Bank Transfer,68,10,4.9,Yes,Yes,Winter,26-35,Discount Hunter,49.910204081632656
13,61,Male,Delaware,Outerwear,Bi-Weekly,Yes,Venmo,72,37,4.5,Yes,Yes,Winter,55+,Loyal — Deal User,65.2908163265306
14,65,Male,New Hampshire,Clothing,Weekly,Yes,PayPal,51,31,4.7,Yes,Yes,Spring,55+,Loyal — Deal User,61.254846938775515
15,64,Male,New York,Outerwear,Weekly,Yes,Debit Card,53,34,4.7,Yes,Yes,Winter,55+,Loyal — Deal User,63.71658163265306
16,64,Male,Rhode Island,Clothing,Monthly,Yes,PayPal,81,8,2.8,Yes,Yes,Winter,55+,Discount Hunter,35.14821428571428
17,25,Male,Alabama,Accessories,Bi-Weekly,Yes,Debit Card,36,44,4.1,Yes,Yes,Spring,18-25,Loyal — Deal User,55.92653061224489
18,53,Male,Mississippi,Clothing,Quarterly,Yes,Venmo,38,36,4.7,Yes,Yes,Winter,46-55,Loyal — Deal User,45.25357142857143
19,52,Male,Montana,Clothing,Weekly,Yes,Cash,48,17,4.6,Yes,Yes,Summer,46-55,Loyal — Deal User,51.14591836734694
20,66,Male,Rhode Island,Clothing,Bi-Weekly,Yes,Debit Card,90,46,3.3,Yes,Yes,Summer,55+,Loyal — Deal User,69.22602040816325
21,21,Male,Louisiana,Clothing,Quarterly,Yes,Cash,51,50,2.8,Yes,Yes,Winter,18-25,Loyal — Deal User,46.4875
22,31,Male,North Carolina,Clothing,Quarterly,Yes,Debit Card,62,22,4.1,Yes,Yes,Winter,26-35,Loyal — Deal User,40.582142857142856
23,56,Male,California,Clothing,Annually,Yes,Debit Card,37,32,3.2,Yes,Yes,Summer,55+,Loyal — Deal User,28.492091836734694
24,31,Male,Oklahoma,Clothing,Weekly,Yes,Credit Card,88,40,4.4,Yes,Yes,Winter,26-35,Loyal — Deal User,76.52755102040817
25,18,Male,Florida,Outerwear,Weekly,Yes,Debit Card,22,16,2.9,Yes,Yes,Fall,,Loyal — Deal User,32.208673469387755
26,18,Male,Texas,Clothing,Annually,Yes,PayPal,25,14,3.6,Yes,Yes,Summer,,Discount Hunter,16.121683673469388
27,38,Male,Nevada,Accessories,Annually,Yes,Credit Card,20,13,3.6,Yes,Yes,Spring,36-45,Discount Hunter,13.946938775510205
28,56,Male,Kentucky,Clothing,Quarterly,Yes,Bank Transfer,56,7,5.0,Yes,Yes,Summer,55+,Discount Hunter,34.923469387755105
29,54,Male,North Carolina,Accessories,Quarterly,Yes,PayPal,94,41,4.4,Yes,Yes,Fall,46-55,Loyal — Deal User,64.01479591836735
30,31,Male,Wyoming,Clothing,Weekly,Yes,Credit Card,48,14,4.1,Yes,Yes,Fall,26-35,Discount Hunter,46.30918367346939
31,57,Male,North Carolina,Accessories,Monthly,Yes,Credit Card,31,16,4.7,Yes,Yes,Winter,55+,Loyal — Deal User,35.82117346938776
32,33,Male,West Virginia,Clothing,Monthly,Yes,Venmo,79,45,4.7,Yes,Yes,Winter,26-35,Loyal — Deal User,68.57627551020408
33,36,Male,Kansas,Outerwear,Annually,Yes,Venmo,67,37,4.9,Yes,Yes,Summer,36-45,Loyal — Deal User,51.12831632653061
34,54,Male,Colorado,Clothing,Quarterly,Yes,Cash,38,45,3.3,Yes,Yes,Summer,46-55,Loyal — Deal User,42.36377551020408
35,36,Male,North Dakota,Clothing,Quarterly,Yes,PayPal,91,38,4.6,Yes,Yes,Spring,36-45,Loyal — Deal User,62.440561224489784
36,54,Male,Massachusetts,Clothing,Bi-Weekly,Yes,Credit Card,33,48,4.0,Yes,Yes,Summer,46-55,Loyal — Deal User,56.83801020408163
37,35,Male,Illinois,Clothing,Bi-Weekly,Yes,PayPal,69,44,4.6,Yes,Yes,Winter,26-35,Loyal — Deal User,69.23903061224489
38,35,Male,Indiana,Clothing,Weekly,Yes,PayPal,45,10,2.8,Yes,Yes,Summer,26-35,Discount Hunter,35.12270408163265
39,29,Male,Florida,Clothing,Quarterly,Yes,Venmo,37,44,,Yes,Yes,Winter,26-35,Loyal — Deal User,44.43903061224489
40,70,Male,Arizona,Clothing,Monthly,Yes,Credit Card,60,18,4.2,Yes,Yes,Summer,55+,Loyal — Deal User,43.108163265306125
41,69,Male,Louisiana,Accessories,Quarterly,Yes,Debit Card,76,31,4.6,Yes,Yes,Winter,55+,Loyal — Deal User,53.467346938775506
42,67,Male,Alaska,Accessories,Annually,Yes,Venmo,39,40,4.5,Yes,Yes,Spring,55+,Loyal — Deal User,41.81505102040816
43,20,Male,Tennessee,Outerwear,Annually,Yes,PayPal,100,15,4.1,Yes,Yes,Spring,18-25,Loyal — Deal User,43.171428571428564
44,25,Male,Ohio,Accessories,Bi-Weekly,Yes,PayPal,69,19,3.7,Yes,Yes,Fall,18-25,Loyal — Deal User,48.53290816326531
45,39,Male,Kentucky,Accessories,Weekly,Yes,PayPal,53,45,4.6,Yes,Yes,Summer,36-45,Loyal — Deal User,69.85127551020408
46,50,Male,Tennessee,Clothing,Annually,Yes,PayPal,21,25,2.9,Yes,Yes,Fall,46-55,Loyal — Deal User,17.406377551020405
47,57,Male,California,Clothing,Quarterly,Yes,Cash,43,45,2.9,Yes,Yes,Summer,55+,Loyal — Deal User,41.52627551020407
48,55,Male,Montana,Accessories,Weekly,Yes,Cash,54,36,4.5,Yes,Yes,Winter,46-55,Loyal — Deal User,64.05357142857143
49,42,Male,Nevada,Clothing,Monthly,Yes,Cash,55,38,2.7,Yes,Yes,Summer,36-45,Loyal — Deal User,44.79056122448979
50,68,Male,New Jersey,Clothing,Bi-Weekly,Yes,Debit Card,30,34,4.6,Yes,Yes,Spring,55+,Loyal — Deal User,50.92908163265305
51,49,Male,Maryland,Clothing,Bi-Weekly,Yes,Debit Card,28,39,,Yes,Yes,Spring,46-55,Loyal — Deal User,48.56530612244897
52,59,Male,Vermont,Clothing,Quarterly,Yes,Credit Card,59,7,4.7,Yes,Yes,Winter,55+,Discount Hunter,34.06096938775511
53,42,Male,Alaska,Clothing,Weekly,Yes,Credit Card,20,26,2.6,Yes,Yes,Summer,36-45,Loyal — Deal User,35.906122448979595
54,29,Male,Mississippi,Clothing,Weekly,Yes,Credit Card,24,35,3.9,Yes,Yes,Winter,26-35,Loyal — Deal User,50.46632653061224
55,47,Male,New Mexico,Outerwear,Bi-Weekly,Yes,Debit Card,94,35,4.2,Yes,Yes,Summer,46-55,Loyal — Deal User,69.14132653061225
56,40,Male,South Carolina,Outerwear,Annually,Yes,Credit Card,28,49,3.0,Yes,Yes,Winter,36-45,Loyal — Deal User,34.88775510204081
57,41,Male,Mississippi,Accessories,Weekly,Yes,Credit Card,73,46,4.7,Yes,Yes,Summer,36-45,Loyal — Deal User,77.31352040816327
58,21,Male,West Virginia,Outerwear,Bi-Weekly,Yes,Debit Card,64,17,4.4,Yes,Yes,Summer,18-25,Loyal — Deal User,49.94591836734695
59,69,Male,Missouri,Clothing,Monthly,Yes,Venmo,54,29,4.2,Yes,Yes,Summer,55+,Loyal — Deal User,47.96785714285715
60,63,Male,Louisiana,Accessories,Weekly,Yes,Debit Card,79,4,4.6,Yes,Yes,Spring,55+,Discount Hunter,52.874234693877554
61,50,Male,Idaho,Clothing,Weekly,Yes,Cash,37,17,4.0,Yes,Yes,Summer,46-55,Loyal — Deal User,44.10841836734694
62,55,Male,Texas,Accessories,Quarterly,Yes,Credit Card,68,21,4.7,Yes,Yes,Winter,46-55,Loyal — Deal User,45.44489795918368
63,30,Male,Mississippi,Footwear,Bi-Weekly,Yes,Credit Card,21,31,3.8,Yes,Yes,Spring,26-35,Loyal — Deal User,41.47984693877551
64,33,Male,Arizona,Accessories,Weekly,Yes,Credit Card,79,43,2.7,Yes,Yes,Winter,26-35,Loyal — Deal User,65.35178571428571
65,65,Male,Alabama,Footwear,Bi-Weekly,Yes,Debit Card,83,18,4.8,Yes,Yes,Fall,55+,Loyal — Deal User,58.895663265306126
66,65,Male,New Jersey,Accessories,Quarterly,Yes,Venmo,36,44,4.8,Yes,Yes,Spring,55+,Loyal — Deal User,50.12653061224489
67,31,Male,Pennsylvania,Clothing,Quarterly,Yes,Venmo,94,3,4.7,Yes,Yes,Winter,26-35,Discount Hunter,42.54948979591837
68,45,Male,Connecticut,Outerwear,Monthly,Yes,Debit Card,33,49,4.4,Yes,Yes,Winter,36-45,Loyal — Deal User,54.85025510204082
69,57,Male,Utah,Accessories,Quarterly,Yes,Cash,46,21,3.9,Yes,Yes,Summer,55+,Loyal — Deal User,33.76989795918367
70,48,Male,Tennessee,Accessories,Weekly,Yes,Cash,70,5,4.4,Yes,Yes,Summer,46-55,Discount Hunter,49.47397959183674
71,22,Male,Alabama,Accessories,Quarterly,Yes,Debit Card,29,32,4.2,Yes,Yes,Fall,18-25,Loyal — Deal User,36.992091836734694
72,36,Male,Virginia,Clothing,Annually,Yes,Bank Transfer,48,34,2.9,Yes,Yes,Summer,36-45,Loyal — Deal User,31.354081632653063
73,18,Male,Georgia,Clothing,Quarterly,Yes,Bank Transfer,26,21,2.9,Yes,Yes,Winter,,Loyal — Deal User,21.519897959183673
74,48,Male,Hawaii,Clothing,Bi-Weekly,Yes,Bank Transfer,85,43,2.7,Yes,Yes,Spring,46-55,Loyal — Deal User,62.22678571428571
75,49,Male,Indiana,Accessories,Monthly,Yes,Cash,58,3,4.5,Yes,Yes,Spring,46-55,Discount Hunter,35.09948979591837
76,64,Male,Utah,Accessories,Annually,Yes,Credit Card,85,21,2.7,Yes,Yes,Summer,55+,Loyal — Deal User,33.75739795918368
77,50,Male,Delaware,Accessories,Monthly,Yes,Venmo,43,32,4.2,Yes,Yes,Summer,46-55,Loyal — Deal User,46.367091836734694
78,22,Male,Delaware,Clothing,Bi-Weekly,Yes,Debit Card,53,36,3.3,Yes,Yes,Summer,18-25,Loyal — Deal User,51.54107142857143
79,50,Male,Nebraska,Clothing,Bi-Weekly,Yes,Venmo,91,50,4.7,Yes,Yes,Spring,46-55,Loyal — Deal User,80.3875
80,38,Male,Iowa,Outerwear,Quarterly,Yes,Bank Transfer,96,43,2.6,Yes,Yes,Winter,36-45,Loyal — Deal User,55.06428571428572
81,19,Male,New York,Footwear,Quarterly,Yes,Credit Card,72,24,,Yes,Yes,Summer,18-25,Loyal — Deal User,43.13163265306122
82,67,Male,Virginia,Footwear,Quarterly,Yes,Credit Card,96,36,2.6,Yes,Yes,Summer,55+,Loyal — Deal User,50.77857142857143
83,19,Male,Georgia,Clothing,Quarterly,Yes,Credit Card,28,21,4.0,Yes,Yes,Spring,18-25,Loyal — Deal User,28.744897959183675
84,36,Male,Texas,Clothing,Weekly,Yes,Bank Transfer,40,34,4.1,Yes,Yes,Summer,36-45,Loyal — Deal User,56.05408163265305
85,52,Male,Arizona,Outerwear,Quarterly,Yes,Bank Transfer,32,42,4.4,Yes,Yes,Spring,46-55,Loyal — Deal User,45.252040816326534
86,53,Male,New Mexico,Accessories,Bi-Weekly,Yes,Debit Card,95,2,4.5,Yes,Yes,Winter,46-55,Discount Hunter,51.04974489795919
87,24,Male,Nevada,Clothing,Bi-Weekly,Yes,Cash,41,47,3.7,Yes,Yes,Spring,18-25,Loyal — Deal User,56.92576530612246
88,52,Male,Ohio,Footwear,Bi-Weekly,Yes,Debit Card,53,44,3.7,Yes,Yes,Fall,46-55,Loyal — Deal User,58.8390306122449
